timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,grpThreads,allThreads,Latency
1784745219280,17,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-264,text,true,,17251,149,149,17
1784745219291,8,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-298,text,true,,9312,149,149,8
1784745219291,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-334,text,true,,17251,149,149,16
1784745219303,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-245,text,true,,9312,149,149,5
1784745219386,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-350,text,true,,9312,149,149,4
1784745219421,16,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-282,text,true,,17251,149,149,16
1784745219422,22,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-290,text,true,,17251,149,149,21
1784745219434,11,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-353,text,true,,9312,149,149,11
1784745219452,7,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-371,text,true,,1788,149,149,7
1784745219465,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-354,text,true,,1788,150,150,10
1784745219468,8,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-362,text,true,,1788,150,150,8
1784745219469,18,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-266,text,true,,17251,150,150,18
1784745219479,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-327,text,true,,1788,150,150,10
1784745219488,4,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-268,text,true,,9312,150,150,4
1784745219562,5,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-304,text,true,,9312,149,149,5
1784745219582,7,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-347,text,true,,9312,150,150,7
1784745219581,21,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-297,text,true,,17251,150,150,21
1784745219622,6,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-340,text,true,,9312,150,150,6
1784745219642,10,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-360,text,true,,1788,150,150,10
1784745219650,23,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-381,text,true,,17251,150,150,23
1784745219679,6,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-338,text,true,,9312,150,150,6
1784745219679,10,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-269,text,true,,9312,150,150,10
1784745219690,6,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-361,text,true,,9312,150,150,6
1784745219692,9,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-346,text,true,,9312,150,150,9
1784745219708,3,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-358,text,true,,9312,151,151,3
1784745219706,11,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-256,text,true,,1788,151,151,11
1784745219725,29,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-257,text,true,,9312,151,151,29
1784745219727,44,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-321,text,true,,1788,150,150,44
1784745219713,62,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-378,text,true,,17251,150,150,62
1784745219740,46,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-376,text,true,,1788,150,150,46
1784745219747,44,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-370,text,true,,1788,150,150,44
1784745219755,38,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-352,text,true,,9312,150,150,38
1784745219762,33,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-357,text,true,,9312,150,150,33
1784745219755,74,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-299,text,true,,17251,151,151,74
1784745219776,66,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-368,text,true,,1788,151,151,66
1784745219782,66,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-363,text,true,,1788,151,151,66
1784745219823,29,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-296,text,true,,9312,151,151,29
1784745219761,98,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-394,text,true,,17251,151,151,98
1784745219797,63,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-364,text,true,,9312,151,151,63
1784745219806,56,GET /api/articles,200,OK,500 Utilisateurs simultanees 1-341,text,true,,9312,151,151,56
1784745219789,87,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-285,text,true,,17251,151,151,87
1784745219846,37,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-277,text,true,,1788,151,151,37
1784745219853,34,GET /api/boats/1,200,OK,500 Utilisateurs simultanees 1-329,text,true,,1788,151,151,34
1784745219798,96,GET /api/boats,200,OK,500 Utilisateurs simultanees 1-384,text,true,,17251,151,151,96
